stage,step,action,reward,state,state_name,exploration,delta,delta_bb,delta_time,best_state
1,470,3,0.0,1,,,0.000193,0.000287,9.8e-05,1
1,472,0,0.0,0,,,0.000131,9.8e-05,0.000164,0
1,474,3,0.0,0,,,0.000111,8e-05,0.000143,0
1,476,3,5e-05,2,,,-7.7e-05,-0.00011,-4.4e-05,2
1,478,3,0.000234,3,,,-0.000388,-0.000397,-0.000379,3
1,480,2,3.4e-05,1,,,-0.000115,-0.000152,-7.8e-05,3
1,482,2,0.0,0,,,6e-06,1.2e-05,-0.0,2
1,484,3,8e-05,3,,,-0.000127,-0.000155,-9.9e-05,3
1,486,3,0.000317,3,,,-0.000522,-0.000558,-0.000486,3
1,488,3,0.0,2,,,9.1e-05,7.3e-05,0.00011,2
1,490,1,0.0,0,,,1e-06,1e-06,1e-06,1
1,492,3,0.000137,1,,,-0.000221,-0.000257,-0.000186,1
1,494,2,7e-06,0,,,-2.6e-05,-2.1e-05,-3.1e-05,0
1,496,0,7.9e-05,1,,,-7.9e-05,5.4e-05,-0.000212,1
1,498,1,0.000111,1,,,-0.000257,-0.000306,-0.000208,1
1,500,3,0.0,0,,,0.000176,0.000416,-6.3e-05,1
1,502,0,0.0,0,,,2.1e-05,5.9e-05,-1.8e-05,2
1,504,1,0.000111,3,,,-0.000268,-0.000265,-0.00027,3
1,506,1,2.9e-05,3,,,-6.2e-05,-9.4e-05,-3e-05,3
1,508,1,0.0,2,,,9.8e-05,4e-05,0.000155,2
1,510,2,1e-06,0,,,-7e-06,1.3e-05,-2.6e-05,1
1,512,2,9e-06,0,,,-3.1e-05,-4e-05,-2.1e-05,1
1,514,1,0.0,1,,,0.000113,0.000117,0.00011,1
1,516,1,7.7e-05,3,,,-0.00018,-0.000202,-0.000158,3
1,518,1,9e-06,2,,,-2.1e-05,-2.9e-05,-1.3e-05,2
1,520,1,2e-06,2,,,-5e-06,-7e-06,-4e-06,2
1,522,1,5.4e-05,3,,,-0.000129,-0.000136,-0.000121,3
1,524,1,0.0,2,,,8.2e-05,0.000113,5.1e-05,2
1,526,1,6.4e-05,2,,,-0.000149,-0.000171,-0.000126,2
1,528,2,0.0,0,,,3e-06,1.3e-05,-7e-06,3
1,530,3,1.3e-05,1,,,-2e-05,-2.5e-05,-1.5e-05,3
1,532,1,0.000178,3,,,-0.000462,-0.000284,-0.000639,3
1,534,1,7.1e-05,3,,,-0.000156,-0.000224,-8.8e-05,3
1,536,1,1.4e-05,3,,,-3.6e-05,-2.1e-05,-5.2e-05,3
1,538,3,0.0,0,,,0.000267,0.000388,0.000147,2
1,540,1,0.000192,3,,,-0.000434,-0.00057,-0.000299,3
1,542,1,0.0,1,,,0.00021,0.000211,0.000208,1
1,544,1,0.000149,3,,,-0.000399,-0.000196,-0.000602,3
1,546,1,5e-05,3,,,-0.000116,-0.000132,-0.000101,3
1,548,1,5.6e-05,3,,,-0.00013,-0.000156,-0.000105,3
1,550,1,1.5e-05,3,,,-3e-05,-5.9e-05,-2e-06,3
1,552,0,5.3e-05,1,,,-3.5e-05,-3.7e-05,-3.2e-05,3
1,554,1,5.7e-05,3,,,-0.000138,-0.000133,-0.000143,3
1,556,1,1.7e-05,3,,,-4e-05,-4.9e-05,-3.1e-05,3
1,558,1,0.0,2,,,0.0,nan,nan,2
1,560,1,0.000334,3,,,-0.000854,-0.000594,-0.001114,3
1,562,1,0.000286,3,,,-0.000694,-0.000651,-0.000737,3
1,564,1,4.3e-05,3,,,-9.6e-05,-0.000131,-6.1e-05,3
1,566,2,3e-05,1,,,-0.00011,-9.6e-05,-0.000125,3
1,568,1,2.8e-05,3,,,-6.4e-05,-8.1e-05,-4.8e-05,3
1,570,1,1e-06,1,,,-2e-06,0.0,-5e-06,1
1,572,2,8e-06,1,,,-2.9e-05,-3.2e-05,-2.6e-05,1
1,574,2,6e-06,1,,,-2.4e-05,-1.5e-05,-3.3e-05,1
1,576,1,0.0,0,,,0.000327,3.1e-05,0.000623,0
1,578,3,1.2e-05,2,,,-1.9e-05,-2.3e-05,-1.5e-05,2
1,580,3,0.000179,3,,,-0.000284,-0.000356,-0.000212,3
1,582,3,5.3e-05,3,,,-7.7e-05,-0.000129,-2.5e-05,3
1,584,3,6.6e-05,3,,,-0.000104,-0.000136,-7.1e-05,3
1,586,3,0.0,1,,,0.000121,0.000209,3.3e-05,1
1,588,3,0.000163,3,,,-0.000255,-0.000339,-0.00017,3
1,590,3,1.1e-05,3,,,-2e-05,-1.6e-05,-2.4e-05,3
1,592,3,0.000146,3,,,-0.000235,-0.000277,-0.000194,3
1,594,3,5.6e-05,3,,,-8.4e-05,-0.000129,-3.9e-05,3
1,596,3,1.3e-05,3,,,-2.6e-05,-4e-06,-4.8e-05,3
1,598,3,2.1e-05,3,,,-3.2e-05,-4.2e-05,-2.2e-05,3
1,600,3,0.0,2,,,6.8e-05,6.8e-05,6.8e-05,2
1,602,2,6e-06,0,,,-2.1e-05,-1.9e-05,-2.3e-05,3
1,604,3,0.0,2,,,0.000163,0.000153,0.000173,2
1,606,3,0.000195,3,,,-0.000314,-0.000369,-0.00026,3
1,608,3,0.0,1,,,1.4e-05,1.4e-05,1.3e-05,1
1,610,3,5.5e-05,3,,,-8.9e-05,-9.8e-05,-8.1e-05,3
1,612,3,5.8e-05,3,,,-8.8e-05,-0.000126,-5.1e-05,3
1,614,3,0.000159,3,,,-0.000252,-0.000316,-0.000188,3
1,616,3,1.1e-05,3,,,-1.3e-05,-4.1e-05,1.5e-05,3
1,618,3,0.000425,3,,,-0.000714,-0.000691,-0.000736,3
1,620,3,0.0,2,,,0.000169,0.000175,0.000164,2
1,622,1,0.0,1,,,0.0,nan,nan,1
1,624,0,0.0,0,,,0.0004,0.000328,0.000471,2
1,626,1,0.0,0,,,6e-06,-7e-06,2e-05,1
1,628,3,1e-05,3,,,-1.7e-05,-1.1e-05,-2.4e-05,3
1,630,3,4.4e-05,3,,,-7.8e-05,-5.1e-05,-0.000106,3
1,632,3,7e-06,2,,,-1.4e-05,0.0,-2.7e-05,2
1,634,3,0.0,2,,,1.6e-05,5e-05,-1.9e-05,2
1,636,3,5.5e-05,3,,,-8.5e-05,-0.000117,-5.2e-05,3
1,638,3,2e-05,3,,,-3.1e-05,-4e-05,-2.2e-05,3
1,640,3,4.8e-05,3,,,-7.2e-05,-0.000109,-3.5e-05,3
1,642,3,0.000135,3,,,-0.000224,-0.000227,-0.00022,3
1,644,3,0.000526,3,,,-0.000831,-0.001058,-0.000604,3
1,646,3,0.0,1,,,1e-06,9e-06,-7e-06,1
1,648,3,0.000139,3,,,-0.000275,-5.5e-05,-0.000495,3
1,650,3,0.000452,3,,,-0.000802,-0.000553,-0.001051,3
1,652,3,1.2e-05,3,,,-2.8e-05,8e-06,-6.3e-05,3
1,654,3,2.2e-05,3,,,-3.2e-05,-5.6e-05,-8e-06,3
1,656,3,7.9e-05,3,,,-0.000131,-0.000136,-0.000127,3
1,658,3,1.9e-05,3,,,-3.4e-05,-2.5e-05,-4.2e-05,3
1,660,3,0.0,2,,,0.000356,0.000475,0.000237,2
1,662,3,7.7e-05,3,,,-0.000121,-0.000156,-8.7e-05,3
1,664,2,2.9e-05,1,,,-9.8e-05,-0.000129,-6.7e-05,3
1,666,3,0.0,2,,,2.3e-05,3.3e-05,1.3e-05,2
1,668,2,9.7e-05,2,,,-0.000375,-0.000236,-0.000514,3
1,670,3,8.7e-05,3,,,-0.000139,-0.000167,-0.000112,3
1,672,3,0.0,2,,,1.2e-05,6e-06,1.8e-05,2
1,674,1,1.8e-05,1,,,-4.1e-05,-5e-05,-3.3e-05,1
1,676,1,0.000362,2,,,-0.000939,-0.00059,-0.001288,2
1,678,3,6.2e-05,2,,,-9.8e-05,-0.000124,-7.2e-05,3
1,680,1,0.00012,3,,,-0.000284,-0.0003,-0.000269,3
1,682,1,2e-05,3,,,-5.2e-05,-3.4e-05,-7e-05,3
1,684,3,0.0,1,,,1.5e-05,1e-05,1.9e-05,3
1,686,1,0.0,2,,,0.00045,0.000367,0.000533,2
1,688,1,1.9e-05,3,,,-4.2e-05,-5.5e-05,-2.9e-05,3
1,690,1,0.0,2,,,1e-06,6e-06,-4e-06,2
1,692,3,0.0,0,,,1.7e-05,3.2e-05,2e-06,1
1,694,1,1.6e-05,2,,,-3.6e-05,-5.2e-05,-2e-05,2
1,696,1,7.1e-05,3,,,-0.00016,-0.000217,-0.000103,3
1,698,1,0.0,2,,,0.000195,0.000258,0.000132,2
1,700,1,7e-06,2,,,-1.3e-05,-2.6e-05,-1e-06,2
1,702,1,8.4e-05,3,,,-0.000192,-0.000236,-0.000148,3
1,704,1,3e-05,3,,,-7.5e-05,-6.3e-05,-8.8e-05,3
1,706,1,1.1e-05,3,,,-2.9e-05,-1.8e-05,-4e-05,3
1,708,1,0.000135,3,,,-0.000312,-0.000366,-0.000257,3
1,710,1,0.00014,3,,,-0.000342,-0.000308,-0.000375,3
1,712,1,1.9e-05,3,,,-4.6e-05,-4.2e-05,-4.9e-05,3
1,714,1,0.000735,3,,,-0.00168,-0.002095,-0.001266,3
1,716,1,0.0,1,,,0.000139,0.000346,-6.7e-05,1
1,718,1,0.00011,3,,,-0.000243,-0.000343,-0.000144,3
1,720,0,0.00036,1,,,-0.00026,-0.00016,-0.00036,3
1,722,1,3.1e-05,3,,,-7.3e-05,-7.3e-05,-7.4e-05,3
1,724,1,6.8e-05,3,,,-0.000155,-0.000201,-0.000109,3
1,726,1,3.4e-05,3,,,-7.2e-05,-0.000113,-3.2e-05,3
1,728,1,4.1e-05,3,,,-9e-05,-0.000136,-4.5e-05,3
1,730,1,0.0,1,,,9.7e-05,0.000121,7.2e-05,1
1,732,1,0.000101,3,,,-0.000242,-0.000245,-0.000239,3
1,734,1,9.9e-05,3,,,-0.000224,-0.000293,-0.000155,3
1,736,1,0.0,2,,,0.000473,6e-05,0.000885,2
1,738,1,0.0,2,,,0.000565,0.000996,0.000133,2
1,740,0,0.0,0,,,9.7e-05,0.000131,6.2e-05,1
1,742,3,9e-06,0,,,-1.6e-05,-1e-05,-2.2e-05,0
1,744,0,0.0,0,,,0.000172,0.000208,0.000135,0
1,746,3,8.7e-05,2,,,-0.000139,-0.000173,-0.000104,2
1,748,3,0.0,2,,,-4e-06,1.2e-05,-1.9e-05,2
1,750,3,0.0,0,,,0.000287,0.000358,0.000216,0
